username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2013-08-31 17:22;0;0;"Lacey, K Brett Maher, DT Jeris Pendleton, WR Eric Rogers, QB Nick Stephens, CB Brandon Underwood Denver Broncos Cuts to 53: RB (37/120)";;;;"373933783172800512";https://twitter.com/GERENetwork/status/373933783172800512
;2013-08-31 09:46;2;0;""Juice" is OFFICIALLY licensed OSU music! Plays @The Shoe! DL iTunes HERE: https://itunes.apple.com/us/album/juice-single/id684358967 … @ OhioStFootball @ OhioState @ Bunderwood8";;@The @ @ @;;"373819090856448000";https://twitter.com/MekkaDonMusic/status/373819090856448000
;2013-08-30 20:07;0;0;"@ Bunderwood8 can u still be on Dallas practice squad?";;@;;"373612953376788480";https://twitter.com/oneal_jimmy/status/373612953376788480
;2013-08-30 10:48;0;0;"Hmmm";;;;"373472322398605312";https://twitter.com/Bunderwood8/status/373472322398605312
;2013-08-29 18:39;0;0;"@PoLilTinkTink11 I'm thinkin the 01 Brandon Underwood from the Metro Raiders";;@PoLilTinkTink11;;"373228433825746944";https://twitter.com/B_Wood260/status/373228433825746944
;2013-08-28 23:55;0;1;"God is";;;;"372945557213704192";https://twitter.com/Bunderwood8/status/372945557213704192
;2013-08-28 19:06;0;0;"Josh Steward, Keegan, Brandon Underwood — Date: Keegan F:Josh Stewart Kill: brandon because i dont think he like... http://ask.fm/a/6063mie9";;;;"372872796407611392";https://twitter.com/daniella0215/status/372872796407611392
;2013-08-28 13:49;0;0;"“ @ Bunderwood8: pic.twitter.com/OpxeM3gOgR” OH SO # true";;@;#;"372792965934354432";https://twitter.com/b_zeaux/status/372792965934354432
;2013-08-28 13:48;0;0;"@ Bunderwood8 EZ? # squirt ?? # idk sounds nasty!";;@;# #;"372792711457161216";https://twitter.com/b_zeaux/status/372792711457161216
;2013-08-27 22:18;0;0;"@ Bunderwood8 It is! You just have to find it. Don't spend your time on those who only love you when the conditions are right for them!";;@;;"372558858528382976";https://twitter.com/b_zeaux/status/372558858528382976
;2013-08-27 22:02;0;1;"You have to hear what people are saying when they say it # backgroundnoise";;;#;"372554805048139779";https://twitter.com/Bunderwood8/status/372554805048139779
;2013-08-27 22:01;2;0;"Love should be unconditional...";;;;"372554550185435137";https://twitter.com/Bunderwood8/status/372554550185435137
;2013-08-27 17:37;1;0;"Cuts - Brett Maher, Nick Stephens, Anthony Amos, Eric Rogers , Jared Green,Colin Cochart, Dennis Godfrey, Brandon Underwood and Deon Lacey.";;;;"372488099978170370";https://twitter.com/TeamDunbar25/status/372488099978170370
;2013-08-27 16:32;0;0;"Keep grinding my dudes @JaredGreenTheWR @ Bunderwood8 # NFL bound.";;@JaredGreenTheWR @;#;"372471721267191809";https://twitter.com/N_O_Baby504/status/372471721267191809
;2013-08-27 16:25;1;0;"RT # cowboys CB Brandon Underwood and WR Anthony Amos also cut today by Dallas # dcstands4";;;# #;"372469849991028736";https://twitter.com/DCstands4/status/372469849991028736
;2013-08-27 15:22;0;0;"@ Bunderwood8 You're an awesome dude and talented ballplayer! Continue to work hard. If you need anything man you call me!..ps-Bills need dbs";;@;;"372453972822327296";https://twitter.com/ronm29/status/372453972822327296
;2013-08-27 15:08;1;1;"Los Cowboys cortan a CB Brandon Underwood y colocan en IR list a DE Tyrone Crawford y C Ryan Cook.";;;;"372450659586420736";https://twitter.com/CowboysMex/status/372450659586420736
;2013-08-27 15:08;0;0;"@ Bunderwood8 sorry u didn't make the cut u were good this preseason keep trying you'll make it";;@;;"372450487775154176";https://twitter.com/oneal_jimmy/status/372450487775154176
;2013-08-27 15:08;8;1;"Cowboys released Anthony Amos, Colin Cochart, Dennis Godfrey, Jared Green, Deon Lacey, Eric Rogers, Nick Stephens and Brandon Underwood.";;;;"372450480707731456";https://twitter.com/jonmachota/status/372450480707731456
;2013-08-27 15:01;0;0;"Cowboys cortan a A.Amos, Colin Cochart, Dennis Godfrey, Jared Green, Deon Lacey, Brett Maher, Eric Rogers, Nick Stephens y Brandon Underwood";;;;"372448765556183040";https://twitter.com/DeportesDallas/status/372448765556183040
;2013-08-27 14:19;7;0;"Add K Brett Maher and CB Brandon Underwood to the list of cut players.";;;;"372438323182067712";https://twitter.com/toddarcher/status/372438323182067712
;2013-08-23 20:45;0;1;"“ @ Bunderwood8: @ antkingsmith # salute” lil bra # Salute";;@ @;# #;"371085827981721600";https://twitter.com/antkingsmith/status/371085827981721600
;2013-08-23 20:42;1;0;"@ antkingsmith # salute";;@;#;"371085007600631808";https://twitter.com/Bunderwood8/status/371085007600631808
;2013-08-23 18:45;0;0;"“ @ jcbx32: @ dariusrucker Brandon Underwood's birthday # SHOUTOUT ??!! pic.twitter.com/St5Rfg2tI8” !!";;@ @;#;"371055649913716737";https://twitter.com/britany32/status/371055649913716737
;2013-08-23 18:43;0;0;"“ @ jcbx32: @ dariusrucker Brandon Underwood's birthday # SHOUTOUT ??!! pic.twitter.com/5cVxtSTabb” !!”";;@ @;#;"371055145016377344";https://twitter.com/Emilytaylor32/status/371055145016377344
;2013-08-23 18:41;2;1;"@ dariusrucker Brandon Underwood's birthday # SHOUTOUT ??!!pic.twitter.com/jXmMirMzHp";;@;#;"371054525672472576";https://twitter.com/jcbx32/status/371054525672472576
;2013-08-23 18:38;0;0;"@ dariusrucker shout out for Brandon Underwood as its his birthday tonight???? pic.twitter.com/HiRcSrhXU6";;@;;"371053744274014208";https://twitter.com/jcbx32/status/371053744274014208
;2013-08-21 23:25;0;0;"who is your bros? — Brandon underwood Ben Presley Jacob lowder Avery Canfield and Brandon little http://ask.fm/a/5of2iac6";;;;"370401413912076289";https://twitter.com/brendenleefair/status/370401413912076289
;2013-08-20 22:17;0;0;"I have been saying this for years RT @ Bunderwood8: I want outkast to make another CD!";;@;;"370021746235441152";https://twitter.com/ItsMeCarlC/status/370021746235441152
;2013-08-20 21:54;0;0;"@ Bunderwood8: you remember me from school?/Nah not really/but he kept smiling like a clown facial expression looking silly!!!";;@;;"370015975770316800";https://twitter.com/NickAStevenson/status/370015975770316800
;2013-08-20 21:49;0;1;"I want outkast to make another CD!";;;;"370014728224915456";https://twitter.com/Bunderwood8/status/370014728224915456
;2013-08-20 20:42;0;0;"@ Bunderwood8 his words were Hamilton and Underwood are the only ones that have shown anything. .and nuh I didn't mention you..was a gen ques";;@;;"369997882335588352";https://twitter.com/ronm29/status/369997882335588352
;2013-08-20 20:39;0;1;"@ Bunderwood8 I yapped with a sports dude in dallas today and I asked him bout boys cb's..he said big 23 has been impressive";;@;;"369997224224112640";https://twitter.com/ronm29/status/369997224224112640
;2013-08-20 20:37;0;1;"Currently laying in bed listenin to Pandora ... music is very therapeutic # r&b # immyownDj";;;# #;"369996540871315456";https://twitter.com/Bunderwood8/status/369996540871315456
;2013-08-20 00:11;0;0;"@ Bunderwood8 WEN WE GONE HIT THE LAB";;@;;"369688028647657473";https://twitter.com/itzRevenue/status/369688028647657473
