username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2013-03-17 21:52;1;1;"Met Cedric benson today his reaction 2 the great @CustomsbyHOLLIS work bottom left not sure what i got then oh yea pic.twitter.com/E5R570Dmex";;@CustomsbyHOLLIS;;"313483125709733889";https://twitter.com/whodeybelake/status/313483125709733889
;2013-03-16 08:29;0;0;"Cedric Benson was clutch tonight for my fantasy team. I beat my manager so I might get slammed with work tomorrow. # wompwomp";;;#;"312918441935917056";https://twitter.com/ZONE619Ej/status/312918441935917056
;2013-03-16 00:35;1;0;"Jackson would have been a nice pickup for the # Packers. I think @ Cedric_Benson will have a much better year. He needs to prove himself in GB";;@;#;"312799215845793792";https://twitter.com/ErikLewis87/status/312799215845793792
;2013-03-15 21:35;0;0;"@ AdamSchefter have teams given up on Cedric Benson? I haven't heard anything about him yet";;@;;"312753931233148928";https://twitter.com/NaderDIssa/status/312753931233148928
;2013-03-15 11:02;0;0;"@ Captkirk25 I think Cedric benson, dujuan Harris, Alex green will be pod enough. # weneedpassrushersandrunstoppers";;@;#;"312594783447171072";https://twitter.com/jadamsky/status/312594783447171072
;2013-03-14 22:05;0;0;"Maybe I don't want TT to pursue any FAs. Exhibit a: Cedric Benson. Exhibit b: Jeff Saturday # Packers";;;#;"312399008729546752";https://twitter.com/TimBN24/status/312399008729546752
;2013-03-14 19:16;0;0;"@ ChiefBlindersOn Agreed. I wouldn't mind seeing them bring in Cedric Benson, but bringing back Draughn, Gray, and Eachus would be fine too.";;@;;"312356521365352448";https://twitter.com/AMannicciNFL/status/312356521365352448
;2013-03-14 18:17;0;0;"I really hope the Packers bring back Cedric Benson and also draft a RB first round.";;;;"312341639949590529";https://twitter.com/SoLUKErative/status/312341639949590529
;2013-03-14 17:56;0;0;"@ butzler I completely agree. This is Thompson's M.O. Jackson is just a rich man's Cedric Benson. Free Agency doesn't build championships.";;@;;"312336539491393536";https://twitter.com/dylanschank/status/312336539491393536
;2013-03-14 17:13;0;0;"Wake up and see that Stephen Jackson went to the falcons fuck we needed him I hope we sign cedric Benson back then";;;;"312325580123172864";https://twitter.com/Mase44/status/312325580123172864
;2013-03-14 17:09;0;0;"Me too RT @ packfansince89: I'm hoping we see Cedric Benson back. See what he can do. Oh and see Dujuan Harris plowing still";;@;;"312324704000167936";https://twitter.com/TrueBluGirl/status/312324704000167936
;2013-03-14 16:15;0;0;"Well I wanted Steven Jackson but then I realized we had Cedric Benson, James Starks, Alex Green, DuJuan Harris, and John Kuhn.";;;;"312311146864582656";https://twitter.com/B_Harnick95/status/312311146864582656
;2013-03-14 16:04;1;1;"I'm hoping we see Cedric Benson back. See what he can do. Oh and see Dujuan Harris plowing still";;;;"312308243366031361";https://twitter.com/packfansince89/status/312308243366031361
;2013-03-14 16:00;0;0;"I believe in DuJuan Harris. On that note, do we bring back Cedric Benson? That last part is just curiosity talking # PackerNation";;;#;"312307231460843522";https://twitter.com/jolaurit/status/312307231460843522
;2013-03-14 15:49;0;0;"I do not want Cedric Benson back in GB next year. I'd rather roll with Harris, Green, Starks + UDFA if we couldn't get one in middle rounds.";;;;"312304394601390081";https://twitter.com/rcon14/status/312304394601390081
;2013-03-14 15:33;0;1;"" @ Packerpedia: And somewhere DuJuan Harris smiles to himself..." and Cedric Benson just fist pump... and screamed "Puñeta, I have a shot"";;@;;"312300360314281987";https://twitter.com/sub_zero_pr/status/312300360314281987
;2013-03-14 15:32;0;0;"@NickPolicastri yeah, I'd say Felix Jones or Peyton Hillis are the best options. Also Cedric Benson is available...free agency is crazy";;@NickPolicastri;;"312300319918915585";https://twitter.com/brian95___/status/312300319918915585
;2013-03-14 15:28;0;0;"@ ZeusBuns I just saw that. We still got Cedric benson though";;@;;"312299193312100355";https://twitter.com/AndrewCharles09/status/312299193312100355
;2013-03-14 15:27;0;0;"Win some lose some. I say give Cedric Benson another chance, and see how DuJuan Harris and Alex Green develop.";;;;"312298913828835328";https://twitter.com/RyanKrizan/status/312298913828835328
;2013-03-14 15:19;0;0;"I'd be happy with a Cedric Benson/Montee Ball backfield # DoItTed";;;#;"312296839871361026";https://twitter.com/ccallaway33/status/312296839871361026
;2013-03-14 13:10;0;0;"@ Cedric_Benson cant wait to meet my favorite running back ever yes i said ever in Dallas sunday MR BENSON";;@;;"312264542698737664";https://twitter.com/whodeybelake/status/312264542698737664
;2013-03-13 17:12;0;0;"I mean with Dujuan Harris emerging along with James Starks and Cedric Benson coming back we're looking solid at RB.";;;;"311962884915748865";https://twitter.com/MattBolger85/status/311962884915748865
;2013-03-13 13:58;0;0;"@A_J_Richards I think trade cuz it was one we questioned, we rarely do it but when we do its decent or desperate look at Cedric Benson # dumb";;@A_J_Richards;#;"311914114043748353";https://twitter.com/ibprodigy05/status/311914114043748353
;2013-03-12 23:12;0;0;"@ProInterviews great he can fade away on another passing offense. I guess he didn't notice how Cedric Benson's ride went there. # fail";;@ProInterviews;#;"311691283762655233";https://twitter.com/ajtwotrey/status/311691283762655233
;2013-03-12 22:05;0;0;"@babbs2121 shit i'd take a healthy cedric benson again";;@babbs2121;;"311674463269826560";https://twitter.com/rolldampack/status/311674463269826560
;2013-03-12 19:00;0;0;"@ Jmack37 I still think you were a huge reason Thomas jones n Cedric benson had a beast 06 07 season I wish you were still the bears FB :(";;@;;"311627761754202114";https://twitter.com/danycis80/status/311627761754202114
;2013-03-12 17:10;0;0;"@ austinlamb94 YES! I LOVE IT! Him and Cedric Benson once he is 100%?! Oh man.";;@;;"311599990675996672";https://twitter.com/CLeg19/status/311599990675996672
;2013-03-12 16:51;1;0;"If Greenbay doesn't sign Steven Jackson, Cedric Benson or Ahmad Bradshaw i will shed tears.";;;;"311595397476913153";https://twitter.com/SamNehmetallah/status/311595397476913153
;2013-03-12 12:30;0;1;"C'mon, he drafted Cedric Benson. Oh, wait.. RT @ djdurkin i miss jerry angelo. -signed, not a single oxygen-breathing # bears fan.";;@;#;"311529766069092352";https://twitter.com/MikeMason830/status/311529766069092352
;2013-03-11 13:30;0;0;"@ BKrajewski12 i think we have more backs than receivers right now. Cedric Benson, Dujuan Harris, Alex Green, James Starks, and Ryan Grant.";;@;;"311182388120150017";https://twitter.com/abramk98/status/311182388120150017
;2013-03-09 18:50;0;0;"The # Packers are talking to Steven Jackson?? I thought for sure they were bringing back Cedric Benson.";;;#;"310553228741857280";https://twitter.com/nyblueshirt/status/310553228741857280
;2013-03-09 12:18;0;0;"Showed my dad a pic I took with Cedric Benson and his response was "Looks like you can pile drive his ass." # LoveThisGuy";;;#;"310454448902258688";https://twitter.com/jorgecflores22/status/310454448902258688
;2013-03-09 01:26;0;0;"“@jorgef09: CEDRIC BENSON!!! # HookEm pic.twitter.com/81YSfFp8Jr” tell hi I said he really fucking Sucks for ruining my fantasy two years ago";;@jorgef09;#;"310290514794647552";https://twitter.com/hernandez1533/status/310290514794647552
;2013-03-08 23:31;0;1;"@ CShaw4 I think money will keep Ted from considering it. Jackson's getting old, but he won't be settling for a Cedric Benson contract.";;@;;"310261610344235008";https://twitter.com/PackersNotes/status/310261610344235008
;2013-03-08 16:47;0;0;"@ EASPORTS_MUT Can I please have coins BTW where is GB Cedric Benson.";;@;;"310159895980802048";https://twitter.com/Brendanh17/status/310159895980802048
;2013-03-07 13:41;0;0;"@ AdamSchein @ RichGannon12 the @ JoeHorn87 & @ Cedric_Benson were two of the more genuine, candid interviews I've ever heard. # ExcellentWork";;@ @ @ @;#;"309750751742279681";https://twitter.com/SeriusBall/status/309750751742279681
;2013-03-06 15:24;0;0;"@ J_oshRizzo All I know is that Cedric Benson got a DWI while boating...and then he fumbled in the super bowl. Hasn't been forgiven yet.";;@;;"309414287800168448";https://twitter.com/petersirianni/status/309414287800168448
;2013-03-05 14:27;0;0;"@ Simplekindoffan Cedric Benson said its easy to run strip clubs there... PS, I want my Chairman Maobama tshirt!!";;@;;"309037452025270272";https://twitter.com/ThadCollins/status/309037452025270272
