username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2009-05-01 16:54;0;0;"is watching the titans rookies go through their first workout. TE jared cook passes the eye test big time, as does WR Kenny Britt";;;;"1673300446";https://twitter.com/brentdougherty/status/1673300446
;2009-05-01 09:54;0;0;"RT @ janesports: Sanchez looks accurate, throwing now to Marcus Henry, Huey Whittaker, Kenny O'Neal and Britt Davis. # nfl";;@;#;"1669666431";https://twitter.com/Brian_Bassett/status/1669666431
;2009-05-01 09:52;0;0;"Sanchez looks accurate, throwing now to Marcus Henry, Huey Whittaker, Kenny O'Neal and Britt Davis. # nfl";;;#;"1669646494";https://twitter.com/janesports/status/1669646494
;2009-05-01 01:38;0;0;"[Titans] Ex-Broncos WR Rod Smith Persuaded Titans To Pick Kenny Britt http://tinyurl.com/cprf3l";;;;"1667207124";https://twitter.com/GridironFans/status/1667207124
;2009-04-30 16:23;0;0;"SI: Larry English, Robert Ayers and Kenny Britt would have collected in between $1M and $3M in career-ending insurance if were hurt in NCAA.";;;;"1662989531";https://twitter.com/darrenrovell/status/1662989531
;2009-04-30 11:07;0;0;"Tennessee Titans Morning Links: Bespeaking Like A Mug Edition: Kenny Britt's dominating play didn't .. http://tinyurl.com/ddhfhs";;;;"1660192725";https://twitter.com/TitansMCM/status/1660192725
;2009-04-30 08:24;0;0;"Must Read Article On Kenny Britt * UPDATED*: Must Read Article On Kenny Britt * UPDATED* From the NY .. http://tinyurl.com/dngvkx";;;;"1658755024";https://twitter.com/TitansMCM/status/1658755024
;2009-04-30 06:08;0;0;"New Titan Kenny Britt made some powerful impressions while still a high school freshman-and on a former NFL Pro Bowler. http://n247.tv/z6g";;;;"1657951351";https://twitter.com/nashville247/status/1657951351
;2009-04-29 15:17;0;0;"Go Titans!!! I am pretty excited about this Kenny Britt, WR.";;;;"1652233920";https://twitter.com/Grams2be/status/1652233920
;2009-04-29 13:57;0;0;"@ aplusk kenny britt will have bigger impact.";;@;;"1651533368";https://twitter.com/volntitan/status/1651533368
;2009-04-29 06:11;0;0;"7 spillere fra New Jersey blev valgt i 1. rd af draften. Kun WR Kenny Britt spillede collegebold i hjemstaten - for Rugters...";;;;"1647940049";https://twitter.com/aroundthedraft/status/1647940049
