username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2012-05-04 17:48;0;0;"Royaks games with @Evan__Rodriguez :)";;@Evan__Rodriguez;;"198544594449874944";https://twitter.com/MikhaylaLee/status/198544594449874944
;2012-05-04 17:14;0;0;"Fuck you with # BestFriend @ evanrodriguez http://instagr.am/p/KOJog-rVpO/";;@;#;"198536116121518080";https://twitter.com/RickyMaiola/status/198536116121518080
;2012-05-04 11:06;0;0;"@ BradBiggs do you think Bears wanted pass catching TE Ladarious Green (went pick ahead to SD) over Evan Rodriguez?";;@;;"198443523572367360";https://twitter.com/goodfella33/status/198443523572367360
;2012-05-04 09:11;0;0;"@ DaveGilbertNFL I really like the Evan Rodriguez pick he is one tuff player and i believe he will become a star Fast";;@;;"198414664625958913";https://twitter.com/DaBearUk/status/198414664625958913
;2012-05-04 09:10;0;0;"@ DaveGilbertNFL # Bears now have lots of big targets in the red zone, Davis could break out, Evan Rodriguez is also a great Recieving TE";;@;#;"198414310639288320";https://twitter.com/DaBearUk/status/198414310639288320
;2012-05-04 08:00;0;0;"Evan Rodriguez / Bears draft TE/H-back Rodriguez http://fsp.gs/JRwTVA # NFL # CHI";;;# #;"198396583035936770";https://twitter.com/Bears__News/status/198396583035936770
;2012-05-04 01:33;0;0;"LM: # Bears fourth-round TE Evan Rodriguez to wear jersey No. 88. @ ChicagoBearscom http://bit.ly/sJxiST";;@;#;"198299351834042368";https://twitter.com/sportadore/status/198299351834042368
;2012-05-03 20:49;0;0;"BIG FUCKIN SEXY. @ evanrodriguez http://instagr.am/p/KL9XdNin8t/";;@;;"198227705563594752";https://twitter.com/kailynstenger/status/198227705563594752
;2012-05-03 19:21;1;0;"Class Act on the rise! @ ERod_Inc Versatile NFL tight end - # Bears fans look out for NFL rookie Evan Rodriguez # ClassActpic.twitter.com/DjPTmwCZ";;@;# #;"198205721773490178";https://twitter.com/ClassActSports/status/198205721773490178
;2012-05-02 15:05;0;0;"CHICAGO BEARS DRAFT PICK - EVAN RODRIGUEZ JOINS THE ...: New Chicago Bears Evan Rodriguez joins the Rank Top 5 S... http://bit.ly/JTK6y7";;;;"197778773121310720";https://twitter.com/AliceSmith23/status/197778773121310720
;2012-05-02 14:08;0;0;"# CBSSports Bears draft TE/H-back Rodriguez: The Bears selected tight end/H-back Evan Rodriguez of Tem... http://bit.ly/JTbHj1 # NFLPlayer";;;# #;"197764475372310528";https://twitter.com/nflweek15picks/status/197764475372310528
;2012-05-02 13:31;0;0;"# NFL Bears draft TE/H-back Rodriguez: The Bears selected tight end/H-back Evan Rodriguez of Temple in the fourth... http://q.gs/1Cqcl";;;#;"197755288701501441";https://twitter.com/NFL_24h/status/197755288701501441
;2012-05-02 12:24;0;0;"Follow me back!! NFL Draft: Evan Rodriguez Gets The Call: Every April, 253 college football players get a phone ... http://bit.ly/K9YzKn";;;;"197738365850882048";https://twitter.com/Bears4Life/status/197738365850882048
;2012-05-02 12:01;0;0;"NFL Draft: Evan Rodriguez Gets The Call: Every April, 253 college football players get a phone call to let them ... http://bit.ly/IXIF37";;;;"197732608518529024";https://twitter.com/TEAMNFL/status/197732608518529024
