username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2010-04-28 13:54;0;0;"# nfl # vikings Welcome To The Big Show: Everson Griffen: Vikings Gab » [EDITORS NOTE: Over the next few weeks, we ... http://bit.ly/ciOYcs";;;# #;"13022312231";https://twitter.com/Football_Fanz/status/13022312231
;2010-04-28 13:22;0;0;"Vikings Gab >> Welcome To The Big Show: Everson Griffen http://buzztap.com/-uej15Y";;;;"13020845974";https://twitter.com/vikingsbuzztap/status/13020845974
;2010-04-28 13:02;0;0;"Welcome To The Big Show: Everson Griffen - http://fwix.com/a/34_0f4a30151f";;;;"13019954262";https://twitter.com/twincitieslocal/status/13019954262
;2010-04-28 12:49;0;0;"Welcome To The Big Show: Everson Griffen: [EDITOR’S NOTE: Over the next few weeks, we will be unveiling some in-... http://bit.ly/9INUca";;;;"13019363126";https://twitter.com/VikingsGab/status/13019363126
;2010-04-28 11:06;0;0;"Feeling up your Draft Picks 2010: Everson Griffen http://tinyurl.com/27m5yn4 # vikings";;;#;"13014422875";https://twitter.com/nfl_blogs/status/13014422875
;2010-04-28 08:11;0;0;"Purple Jesus Diaries >> Feeling up your Draft Picks 2010: Everson Griffen http://buzztap.com/-5dNJX7";;;;"13005475391";https://twitter.com/vikingsbuzztap/status/13005475391
;2010-04-28 08:09;0;0;"BLOG: Feeling up your draft picks 2010-Minnesota Vikings new DE Everson Griffen w/ mythical photoshops. http://is.gd/bLva2 # stribvikes";;;#;"13005369188";https://twitter.com/PJDiaries/status/13005369188
;2010-04-28 07:35;0;0;"A 30 minutes sneak peak of my half assed Photoshop work on new Minneaota Viking Everson Griffen: http://twitpic.com/1j0lfn # stribvikes";;;#;"13003783352";https://twitter.com/PJDiaries/status/13003783352
;2010-04-27 22:54;0;0;"Here's a preview photoshop to PJD followers for the Everson Griffen post tomorrow. http://twitpic.com/1j0lfn";;;;"12986028287";https://twitter.com/PJDiaries/status/12986028287
;2010-04-27 20:32;0;0;"Minnesota Vikings Draft Everson Griffen; Is it a Potential 2010 NFL Draft Boom ... - Associated Content http://is.gd/bKH9H";;;;"12978569954";https://twitter.com/VikingsFanClub/status/12978569954
;2010-04-27 18:13;0;0;"In Minnesota, Everson Griffen will wear #97";;;#97;"12971164629";https://twitter.com/UniversalDraft/status/12971164629
;2010-04-27 07:46;0;0;"Daily Norseman: Vikings Get Value With Everson Griffen - SB Nation (blog) http://is.gd/bJLEd";;;;"12943110612";https://twitter.com/VikingsFanClub/status/12943110612
