username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-08-14 10:17;0;0;"only if you promise to sign letroy guion";;;;"897115034094010368";https://twitter.com/purplebuckeye/status/897115034094010368
;2017-08-13 20:40;0;0;"Green Bay Packers release veteran DT Letroy Guion http://ift.tt/2vMqhtU";;;;"896909322172674048";https://twitter.com/BadgerLandSport/status/896909322172674048
;2017-08-13 16:08;4;8;"Claiming Jenkins gives the # Packers a D-lineman to replace recently cut Letroy Guion. They were down two guys with M. Adams out w/injury.";;;#;"896840822859104256";https://twitter.com/TomSilverstein/status/896840822859104256
;2017-08-13 16:03;2;15;"Após inúmeros problemas de conduta extracampo, o Packers anunciou a dispensa de Letroy Guion. + c/ @ amanda_denari https://goo.gl/gSLefW pic.twitter.com/Ure6lS1UoZ";;@;;"896839563825598465";https://twitter.com/NFL_Luluzinha/status/896839563825598465
;2017-08-13 07:20;0;0;"@ ColeFinup : Letroy Guion Release Alters Look of # Packers D-Line # PackersCamp http://lastwordonprofootball.com/2017/08/12/guion-release/ … via @ lastwordonsport @ LastWordOnNFL";;@ @ @;# #;"896708041617420290";https://twitter.com/LWOS_Packers/status/896708041617420290
;2017-08-12 19:04;0;0;"Letroy Guion Release Alters Look of Green Bay # Packers D-Line http://lastwordonprofootball.com/2017/08/12/guion-release/ … via @ LastWordOnNFL # NFL # LWOS # LWONFL";;@;# # # #;"896522819680555008";https://twitter.com/Robert_LWOS/status/896522819680555008
;2017-08-12 18:57;0;0;"Letroy Guion Release Alters Look of Green Bay Packers D-Line - http://lwosonnfl.ms.lastwordonsports.com/2017/08/12/guion-release/ … via @ LastWordOnNFLpic.twitter.com/lNWURRauXl";;@;;"896520979400327168";https://twitter.com/lastwordbkerr/status/896520979400327168
;2017-08-12 18:57;2;4;"Letroy Guion Release Alters Look of Green Bay Packers D-Line - http://lwosonnfl.ms.lastwordonsports.com/2017/08/12/guion-release/ …pic.twitter.com/E7S6LzCOKT";;;;"896520974731943937";https://twitter.com/LastWordOnNFL/status/896520974731943937
;2017-08-12 18:57;2;1;"Letroy Guion Release Alters Look of Green Bay Packers D-Line - http://lwosonnfl.ms.lastwordonsports.com/2017/08/12/guion-release/ … via @ LastWordOnNFLpic.twitter.com/dKlE25GW1Z";;@;;"896520968889356288";https://twitter.com/lastwordonsport/status/896520968889356288
;2017-08-12 16:16;0;0;"# Packers have signed longtime LS Brett Goode, filling spot vacated when they Letroy Guion. pic.twitter.com/YjkhwOb61Z";;;#;"896480441703825410";https://twitter.com/Zach_Stratton29/status/896480441703825410
;2017-08-12 16:09;0;0;"RT ByRyanWood: # Packers signed longtime LS Brett Goode, filling spot vacated when they cut Letroy Guion. So there's a snapper battle: Goode…";;;#;"896478803316310016";https://twitter.com/FunPackersFan/status/896478803316310016
;2017-08-12 16:08;21;97;"# Packers signed longtime LS Brett Goode, filling spot vacated when they cut Letroy Guion. So there's a snapper battle: Goode vs. Derek Hart.";;;#;"896478433462673409";https://twitter.com/ByRyanWood/status/896478433462673409
;2017-08-12 16:05;5;21;"For now, both Goode and Hart are on the roster. The Packers had an open spot after they cut Letroy Guion last week. https://twitter.com/robdemovsky/status/896476933893967872 …";;;;"896477686650085377";https://twitter.com/RobDemovsky/status/896477686650085377
;2017-08-11 07:43;0;0;"Packers release Letroy Guion after DUI arrest and PED suspension - http://tinyurl.com/y9nkfqq8";;;;"895989144165515264";https://twitter.com/crushshotsports/status/895989144165515264
;2017-08-10 20:34;0;0;"As well as DT Letroy Guion.";;;;"895820812036349952";https://twitter.com/sturquhart9/status/895820812036349952
;2017-08-10 12:25;0;0;"Green Bay Packers: Defensive tackle Letroy Guion # released http://crwd.fr/2wv6L2h pic.twitter.com/xtgMsWpNgx";;;#;"895697577336852481";https://twitter.com/BucksofWI/status/895697577336852481
;2017-08-10 11:46;0;1;"Argh! Derfor @ packers pludselig havde behov for at release Letroy Guion...";;@;;"895687795313975296";https://twitter.com/Packerlanddk/status/895687795313975296
;2017-08-09 23:36;0;0;"@ MccloughanScot should the skins sign letroy guion";;@;;"895504041345769472";https://twitter.com/joelgoldstein75/status/895504041345769472
;2017-08-09 22:53;1;0;"DUI News: # GreenBayPackers release DT Letroy Guion following his # DUI arrest. https://www.usatoday.com/story/sports/nfl/packers/2017/08/08/letroy-guion-released-arrest-suspension-green-bay-packers/549434001/ …pic.twitter.com/seCLJoIiGG";;;# #;"895493383933657088";https://twitter.com/NCDDNews/status/895493383933657088
;2017-08-09 21:14;0;0;"Notable recently released NFL players # 49ers # JeremyZuttah # Colts # KendallLangford # Packers # LetroyGuion # NFLhttp://us.blastingnews.com/sports/2017/08/notable-recently-released-nfl-players-001920467.html …";;;# # # # # # #;"895468412423372802";https://twitter.com/GregSousa100/status/895468412423372802
;2017-08-09 21:02;3;0;"The Packers have released defensive lineman Letroy Guion, ending a three-plus year tenure in Green Bay marked by... http://www.waow.com/story/36089600/2017/08/08/packers-release-dl-letroy-guion-after-rocky-3-plus-years …";;;;"895465227957014528";https://twitter.com/WAOW/status/895465227957014528
;2017-08-09 20:48;0;0;"Packers released Letroy Guion yesterday showing once again that they have little tolerance for fuckery despite talent/potential.";;;;"895461767291305985";https://twitter.com/Billosophist/status/895461767291305985
;2017-08-09 20:45;11;12;"ICYMI: The Packers released DT Letroy Guion in wake of his DUI arrest and PED suspension http://on.si.com/2vke3Wl";;;;"895460966007177216";https://twitter.com/SInow/status/895460966007177216
;2017-08-09 20:30;2;3;"ICYMI: The Pat Richter Show The # Packers releasing Letroy Guion, a famous face on the the Camp Randall 100 & more! http://es.pn/2fu1pQT";;;#;"895457172234096640";https://twitter.com/ESPNMadison/status/895457172234096640
;2017-08-09 19:00;0;0;"News broke yesterday of the @ packers releasing troubled DT Letroy Guion. https://sconniesportstalk.com/2017/08/08/packers-with-dt-guion-released-who-will-step-up/ …";;@;;"895434520534556672";https://twitter.com/SST_WI/status/895434520534556672
;2017-08-09 18:22;0;0;"Packers release DT Letroy Guion http://football.zoatmeal.com/site/green-bay-packers/1724715/ … # GoPackGo";;;#;"895425001280618496";https://twitter.com/P4ckers4Ever/status/895425001280618496
;2017-08-09 17:53;0;0;"@ 1057FMTheFan @ RamieIsTweeting @ SparkyRadio what if Garza/Solgard story is jink like the MJS story on Letroy Guion?? He was done after. J/K";;@ @ @;;"895417715099226112";https://twitter.com/BleedBadgerRed/status/895417715099226112
