username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2014-09-05 16:02;0;0;"@KBowenColts any word on the Mikel LeShoure rumors? Did the Colts bring him in for a workout?";;@KBowenColts;;"507997299164073984";https://twitter.com/Dylan_Miller32/status/507997299164073984
;2014-09-05 13:07;6;6;"If Ellington is indeed sidelined for 4-6 weeks or longer, have to wonder if the Cards will kick tires on Mikel LeShoure. Would make sense.";;;;"507953300637888512";https://twitter.com/YahooNoise/status/507953300637888512
;2014-09-05 12:38;0;2;"@ kmeinke Reminds me of when Mikel Leshoure and Titus Young added "Sr." to their jerseys. Hopefully this will turn out better.";;@;;"507945954432270338";https://twitter.com/PrideOfDetroit/status/507945954432270338
;2014-09-05 12:16;0;1;"RB Theo Riddick changed from No. 41 to No. 25, Mikel Leshoure's former number. # Lions";;;#;"507940439564251136";https://twitter.com/jkatzenstein/status/507940439564251136
;2014-09-05 12:15;0;1;"The Colts yesterday worked out former Detroit Lions RB Mikel Leshoure.";;;;"507940009790668800";https://twitter.com/TweetsOfHendrix/status/507940009790668800
;2014-09-05 10:43;0;0;"The top FA RBs the Cards could target: Michael Bush, Edwin Baker, BJGE, Mikel Leshoure, Dion Lewis, Daniel Thomas, Ryan Williams";;;;"507916844658069504";https://twitter.com/RyanMc23/status/507916844658069504
;2014-09-05 10:17;0;0;"@ aPfeiferRS I'd love to see Mikel Leshoure find work this season, maybe ARI is the place. Always liked the guy.";;@;;"507910399959003136";https://twitter.com/NickCassone/status/507910399959003136
;2014-09-05 09:10;0;0;"Colts better grab this guy ASAP way better that Trent Mikel Leshoure Highlights 2012-2013: http://youtu.be/f0M_PNAeylE via @ YouTube";;@;;"507893595102121985";https://twitter.com/crazies88/status/507893595102121985
;2014-09-05 06:56;0;0;"Mikel Leshoure been on my radar";;;;"507859799451901952";https://twitter.com/Osoambitous/status/507859799451901952
;2014-09-05 06:34;0;0;"@ MikelLeShoure25 When are you supposed to be visiting the Colts?";;@;;"507854272621326336";https://twitter.com/way2kuel/status/507854272621326336
;2014-09-05 03:50;0;0;"Mikel Leshoure set to visit Indianapolis Colts http://goo.gl/SZku1G";;;;"507812942499176448";https://twitter.com/Pro_All_Stars/status/507812942499176448
;2014-09-05 02:16;0;0;"Les Colts vont tester Mikel Leshoure http://goo.gl/fb/ZKQJwj";;;;"507789306044243968";https://twitter.com/TDActu/status/507789306044243968
;2014-09-05 02:16;0;2;"# Colts Interested in RB Mikel Leshoure ---> http://shar.es/11J3hm";;;#;"507789265565003777";https://twitter.com/NFLRankings/status/507789265565003777
;2014-09-04 23:22;0;0;"Toni picks up Mikel LeShoure hoping he signs with Indianapolis Colts-would be a huge development for both Indy and Toni's rb deprived team.";;;;"507745665251037184";https://twitter.com/84Leaks/status/507745665251037184
;2014-09-04 22:59;0;0;"@ BOyouRock In 2011 we traded up with Seattle to get Mikel Leshoure in the 2nd round. Who did the Seahawks take in round 5? Richard Sherman.";;@;;"507739754440294400";https://twitter.com/WaitsOnJake/status/507739754440294400
;2014-09-04 21:53;2;4;"Report: Mikel Leshoure scheduled to work out with # Colts. http://indy.st/Z9og6Q";;;#;"507723164999516160";https://twitter.com/indystar/status/507723164999516160
;2014-09-04 21:40;0;0;"@ hawkeyegamefilm I got reminded recently the Seahawks got Sherman by trading back 3 spots so the Lions could take Mikel Leshoure.";;@;;"507719846508113920";https://twitter.com/thebstiles/status/507719846508113920
;2014-09-04 21:34;1;1;"Get Zurlon Tipton on the PS and sign Mikel Leshoure";;;;"507718279990087680";https://twitter.com/AdanPeterson20/status/507718279990087680
;2014-09-04 20:50;2;2;"According to the Detroit Free Press former 2nd round draft pick RB Mikel Leshoure will work out for the # Colts: http://indy.st/1pPRQtb";;;#;"507707190048616448";https://twitter.com/IndyStarSports/status/507707190048616448
;2014-09-04 20:28;1;0;"Vish. Mikel LeShoure no Colts?";;;;"507701787961606144";https://twitter.com/Pato_DRS/status/507701787961606144
;2014-09-04 20:22;0;1;"@ kshizzle22 @ NFootballLHumor mikel leshoure has worked out with the colts though so there's hope";;@ @;;"507700202741170176";https://twitter.com/porcupinenips/status/507700202741170176
;2014-09-04 18:53;0;1;"Report: Mikel Leshoure visiting Indianapolis Colts - http://NFL.com http://dlvr.it/6pxpSb";;;;"507677927866003456";https://twitter.com/Indianapolis365/status/507677927866003456
;2014-09-04 18:50;0;0;"Report: Mikel Leshoure visiting Indianapolis Colts - http://NFL.com http://ift.tt/1CvE4QB # NFL # IndianapolisColts";;;# #;"507676997683011587";https://twitter.com/ColtsPlus/status/507676997683011587
;2014-09-04 18:11;0;1;"Former # Lions tailback Mikel Leshoure works out with Indianapolis Colts http://on.freep.com/1oJ5hou via @ freep";;@;#;"507667196546269184";https://twitter.com/davebirkett/status/507667196546269184
;2014-09-04 18:07;0;0;"ACROSS ENEMY LINES: Report: Colts Visiting with RB Mikel Leshoure http://bit.ly/1o3gCjK # jaguars";;;#;"507666345425514497";https://twitter.com/JaguarsBlogZone/status/507666345425514497
;2014-09-04 18:00;0;0;"“ @ mchappell51: According to Dave Birkett of Detroit Free Press, # colts meeting with RB Mikel Leshoure.” Huh @ _RC_8015_ @ vetbob5537";;@ @ @;#;"507664648749862913";https://twitter.com/Benj_McGill/status/507664648749862913
;2014-09-04 17:53;0;0;"Ex-Detroit Lions tailback Mikel Leshoure works out with colts (via http://ble.ac/teamstream- ) http://teamstre.am/1unSUDT";;;;"507662730707615744";https://twitter.com/crazies88/status/507662730707615744
;2014-09-04 17:11;0;0;"I WUN Today - Report: Mikel Leshoure visiting Indianapolis Colts: Former Lions running back Mikel Les... http://on.nfl.com/1o34D5Q # NFLNews";;;#;"507652104001835008";https://twitter.com/pitch4thegreen/status/507652104001835008
;2014-09-04 17:04;0;0;"Looks like Mikel Leshoure will finally be a Colt after a year of tip towing.. # 4thstringtho";;;#;"507650413957758976";https://twitter.com/JamieLanders10/status/507650413957758976
;2014-09-04 17:04;0;0;"O Colts estariam conversando com o RB Mikel Leshoure para contratá-lo como salvaguarda para o caso de Trent Richardson não se desenvolver.";;;;"507650369594200064";https://twitter.com/profootballbr/status/507650369594200064
;2014-09-04 17:02;0;0;"Free agent RB Mikel LeShoure visiting the Colts http://tinyurl.com/nlk833s # NFL # fantasyfootball";;;# #;"507650007605207040";https://twitter.com/4for4football/status/507650007605207040
;2014-09-04 17:00;0;0;"A Football Tweet: Report: Mikel Leshoure visiting Indianapolis Colts http://on.nfl.com/WhjC4o";;;;"507649335803121666";https://twitter.com/TeamCarvon/status/507649335803121666
;2014-09-04 17:00;0;0;"Report: Mikel Leshoure visiting Indianapolis Colts: Former Lions running back Mikel Leshoure is reportedl... http://on.nfl.com/1vTZxAP # NFL";;;#;"507649326588235776";https://twitter.com/JoeCamel_Sports/status/507649326588235776
;2014-09-04 16:58;0;0;"NBC Sports - ProFootballTalk: Colts expected to take a look at Mikel Leshoure http://profootballtalk.nbcsports.com/2014/09/04/colts-expected-to-take-a-look-at-mikel-leshoure/ …";;;;"507648799431331840";https://twitter.com/louloudekdek1/status/507648799431331840
;2014-09-04 16:48;0;0;"# Colts are bringing in for Lions RB Mikel Leshoure for some reason today. Just a meeting, but still confusing. No safeties to talk to?";;;#;"507646366865444864";https://twitter.com/HorseshoeHeroes/status/507646366865444864
;2014-09-04 16:43;0;0;"Report: Mikel Leshoure visiting Indianapolis Colts: Former Lions running back Mikel Leshoure is reportedly vis... http://on.nfl.com/WhjC4o";;;;"507645086272720896";https://twitter.com/luvcolts/status/507645086272720896
;2014-09-04 16:38;0;1;"Today the Indianapolis Colts worked out RB Mikel Leshoure. Former 2nd round back but is injury prone. 3rd string back? Him or Boom Herron";;;;"507643924278964224";https://twitter.com/coltsnews2014/status/507643924278964224
;2014-09-04 16:37;0;0;"“ @ AlexMiglio: Mikel Leshoure is Trent Richardson if the latter hadn't been drafted No. 3 overall and traded for 1st-rd pick.” That bad huh";;@;;"507643547575545856";https://twitter.com/ColtsFarmboy/status/507643547575545856
;2014-09-04 16:34;1;0;"Former Lions RB Mikel Leshoure Scheduled To Visit With The Colts: Dave Birkett of the Detroit Fr... http://nfl.nfllinks.tk/6M7 # NFL # Lions";;;# #;"507642890202263552";https://twitter.com/NFL_Links/status/507642890202263552
;2014-09-04 16:34;0;0;"Former Lions RB Mikel Leshoure Scheduled To Visit With The Colts - Yardbarker http://aggbot.com/Detroit-Lions-News/article/23555110 …";;;;"507642833948647425";https://twitter.com/Lions_Headlines/status/507642833948647425
;2014-09-04 16:33;0;0;"Colts are working out Mikel Leshoure - Yardbarker http://aggbot.com/Indianapolis-Colts-News/article/23555108 …";;;;"507642705384853504";https://twitter.com/Colts_Headlines/status/507642705384853504
;2014-09-04 16:33;0;0;"Ex-Detroit Lions tailback Mikel Leshoure works out with Indianapolis Colts http://goo.gl/fb/A4xATj";;;;"507642671523831808";https://twitter.com/freeplions/status/507642671523831808
;2014-09-04 16:31;0;0;"# nfl Report: Mikel Leshoure visiting Indianapolis Colts: Former Lions running back Mikel ... http://tinyurl.com/m4ucrpz # nba # sport # footbal";;;# # # #;"507642051496640512";https://twitter.com/dudewithdanews/status/507642051496640512
;2014-09-04 16:31;0;0;"# nfl Report: Mikel Leshoure visiting Indianapolis Colts: Former Lions running back Mikel ... http://tinyurl.com/kgyzv4g # nba # sport # footbal";;;# # # #;"507642046908100608";https://twitter.com/dudewithdanews/status/507642046908100608
;2014-09-04 16:31;0;0;"# nfl Report: Mikel Leshoure visiting Indianapolis Colts: Former Lions running back Mikel Leshoure... http://on.nfl.com/WhjC4o # nflfootball";;;# #;"507642022702764033";https://twitter.com/nflpicksweek8/status/507642022702764033
;2014-09-04 16:31;0;0;"# nfl Report: Mikel Leshoure visiting Indianapolis Colts: Former Lions running back Mikel Leshoure... http://on.nfl.com/WhjC4o # nflfootball";;;# #;"507642018151936000";https://twitter.com/nflpicksweek7/status/507642018151936000
;2014-09-04 16:31;0;0;"# nfl Report: Mikel Leshoure visiting Indianapolis Colts: Former Lions running back Mikel Leshoure... http://on.nfl.com/WhjC4o # nflfootball";;;# #;"507642014658093056";https://twitter.com/nflpicksweek6/status/507642014658093056
;2014-09-04 16:31;0;0;"# nfl Report: Mikel Leshoure visiting Indianapolis Colts: Former Lions running back Mikel Leshoure... http://on.nfl.com/WhjC4o # nflfootball";;;# #;"507642007372566530";https://twitter.com/nflpicksweek5/status/507642007372566530
;2014-09-04 16:30;0;0;"# nfl Report: Mikel Leshoure visiting Indianapolis Colts: Former Lions running back Mikel Leshoure... http://on.nfl.com/WhjC4o # nflfootball";;;# #;"507642002297462784";https://twitter.com/nflpicksweek4/status/507642002297462784
