username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2013-08-14 16:18;0;0;"Jim Harbaugh said there is no timetable on Eric Wright. He also said 8 or 9 players will not make the trip to Kansas City. # 49ers";;;#;"367757094578958336";https://twitter.com/Christian_Gin/status/367757094578958336
;2013-08-14 15:33;1;1;"Harbaugh said there is no timetable for when CB Eric Wright (personal matter) will join the team.";;;;"367745730670100480";https://twitter.com/mattbarrows/status/367745730670100480
;2013-08-14 15:20;2;0;"# 49ers Jim Harbaugh offered no timetable on when CB Eric Wright would join the team.";;;#;"367742508463173634";https://twitter.com/Eric_Branch/status/367742508463173634
;2013-08-14 14:55;0;0;"The dream of Eric Wright, that's what I'm giving you Who walked through the White House without a business suit~ The Game";;;;"367736334133522432";https://twitter.com/tdkirwa/status/367736334133522432
;2013-08-14 12:52;0;0;"@ iRepFrisco @ EWrighteous21 The Stick Niners Black tee is NOW available at http://www.grizzleskicksandwear.bigcartel.com $15 Men's sizes S-3XL # ninerempire # 49ers";;@ @;# #;"367705254176890880";https://twitter.com/MANNYGRIZZLE/status/367705254176890880
;2013-08-14 12:29;0;0;"Cyclists down! From Eric Wright: "As some of you may already know, two Rolland riders, Annie and Carl, were... http://fb.me/K9GrsbUe";;;;"367699484903342083";https://twitter.com/LaramieBikeNet/status/367699484903342083
;2013-08-14 10:40;0;0;"@ NinersNation I think Collie makes the team, also didn't see Eric Wright on your list, I think he makes the team";;@;;"367672031447220224";https://twitter.com/Canadian_49er/status/367672031447220224
;2013-08-14 02:14;0;0;"@ EWrighteous21 also you got righteous in your twitter handle. Good in my book!";;@;;"367544766918971392";https://twitter.com/righteous514/status/367544766918971392
;2013-08-14 02:14;0;0;"@ EWrighteous21 UNLV fan from Vegas that is a Niner fan. Glad you are a # 49er. You have NO IDEA!!!! Had you on there on Madden already lol";;@;#;"367544650002739201";https://twitter.com/righteous514/status/367544650002739201
;2013-08-13 23:18;0;0;"No RT “@Cee_Ovoxo: " @ Ball_Johnson: R.I.P. Eric Wright"He from erie right??”";;@Cee_Ovoxo @;;"367500531167940608";https://twitter.com/Ball__Johnson/status/367500531167940608
;2013-08-13 23:17;0;0;"" @ Ball_Johnson: R.I.P. Eric Wright"He from erie right??";;@;;"367500173557399552";https://twitter.com/Chil_Vibes_Only/status/367500173557399552
;2013-08-13 23:14;0;0;"R.I.P. Eric Wright";;;;"367499553232396288";https://twitter.com/Ball__Johnson/status/367499553232396288
;2013-08-13 22:27;0;0;"eazy mothafuckin e or eric wright its all the same";;;;"367487558345039872";https://twitter.com/RomeloWright/status/367487558345039872
;2013-08-13 20:07;0;0;"Rip Eric Wright";;;;"367452451944681472";https://twitter.com/BlackSpeedRacer/status/367452451944681472
;2013-08-13 17:37;0;1;"You have to love the "trickery" that's gone into this # EricWright deal - http://on.fb.me/1cLDSBi # 49ers";;;# #;"367414722263781377";https://twitter.com/LiveNFLchat/status/367414722263781377
;2013-08-13 15:16;0;0;"So, if Tarell Brown can play in the slot, and Perrish Cox & Eric Wright can play the slot...and Carlos Rogers can't play outside the slot...";;;;"367379040526532608";https://twitter.com/DylanADeSimone/status/367379040526532608
;2013-08-13 13:26;0;0;"@ Rossta_pher r.i.p Eric wright";;@;;"367351508414640128";https://twitter.com/KenshinJvmxs/status/367351508414640128
;2013-08-13 11:27;0;0;"Eric Wright";;;;"367321408298553344";https://twitter.com/edilalicicc/status/367321408298553344
;2013-08-13 10:45;0;0;"matt, do you know anything about eric wright? if he's gonna be able to play soon? http://fw.to/mxnRO3j";;;;"367310873637191680";https://twitter.com/xx_hgm4683_xx/status/367310873637191680
;2013-08-13 09:32;0;0;"@ NinersNation @ CamInman @ mattbarrows @ TDavenport_BSN @ DeSimone80 any you fellas know when Eric Wright starts? When he gets to facilities,etc";;@ @ @ @ @;;"367292618813612032";https://twitter.com/Timmy_G24/status/367292618813612032
;2013-08-13 05:14;0;0;"A further look at Eric Wright's contract with the San Francisco 49ers ... http://bit.ly/1brfG4a";;;;"367227624588054528";https://twitter.com/Necole_Riesland/status/367227624588054528
;2013-08-13 05:14;0;0;"A further look at Eric Wright's contract with the San Francisco 49ers ... http://bit.ly/1brfCRU";;;;"367227623031967744";https://twitter.com/Necole_Riesland/status/367227623031967744
;2013-08-13 05:14;0;0;"A further look at Eric Wright's contract with the San Francisco 49ers ... http://bit.ly/13V8yLH";;;;"367227621332889600";https://twitter.com/Necole_Riesland/status/367227621332889600
