username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2012-09-02 18:59;0;0;"I haven't talked to @ joshbrown_3 in like 3 hours?";;@;;"242411356060532736";https://twitter.com/lillyyeee/status/242411356060532736
;2012-09-02 18:44;0;0;"# WaysToPissMeOff just being josh brown";;;#;"242407566674649088";https://twitter.com/meganleighxxx/status/242407566674649088
;2012-09-02 18:22;0;0;"@ KStoil @ BrownRecord you didn't really think he would make the team did you?...don't expect Lesway or Grant to last too long either";;@ @;;"242402081145778176";https://twitter.com/1RangerFan/status/242402081145778176
;2012-09-02 17:53;0;0;"@ BrownRecord So I got Clampitt's autograph today for nothing?? :( Nice to meet you today :)";;@;;"242394863172202496";https://twitter.com/KStoil/status/242394863172202496
;2012-09-02 17:44;0;0;"Josh Brown got a little ratchet http://instagr.am/p/PFxPRnE0ea/";;;;"242392660659286016";https://twitter.com/baabybednar/status/242392660659286016
;2012-09-02 17:39;0;0;"RT @ insightspedia: Josh Brown, ex-stock broker: "I Realized That Most Of What I Did Was Bad For Clients–So I Quit" http://finance.yahoo.com/blogs/daily-ticker/ex-stock-broker-realized-most-did-bad-clients-134422604.html …";;@;;"242391439974219777";https://twitter.com/Neovise/status/242391439974219777
;2012-09-02 17:09;0;0;"Josh Brown, ex-stock broker: "I Realized That Most Of What I Did Was Bad For Clients–So I Quit" http://finance.yahoo.com/blogs/daily-ticker/ex-stock-broker-realized-most-did-bad-clients-134422604.html …";;;;"242383843267575808";https://twitter.com/insightspedia/status/242383843267575808
;2012-09-02 17:06;0;0;"@ Joshh_Brownn ITS YOU! Josh Brown! Miss you mate, its been ages. x";;@;;"242383107641180160";https://twitter.com/Lenton_RL/status/242383107641180160
;2012-09-02 17:01;0;0;"I wonder how Josh Brown is feeling right now lol";;;;"242381844799184899";https://twitter.com/hollydroneburg/status/242381844799184899
;2012-09-02 16:55;0;0;"@ ArianaGrande follow josh brown please (:";;@;;"242380200237752320";https://twitter.com/JoshBrownLV/status/242380200237752320
;2012-09-02 16:46;0;0;"@ ArianaGrande follow josh brown (:";;@;;"242378065420890112";https://twitter.com/JoshBrownLV/status/242378065420890112
