username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2009-05-01 18:06;0;0;"NFL Video >> Maualuga's first practice: Bengals LB Rey Maualuga discusses his feelings on slip.. http://tinyurl.com/cbx5de";;;;"1673874150";https://twitter.com/BR_CincyBengals/status/1673874150
;2009-05-01 17:35;0;0;"At Bengals practice, I curiously didn't see Rey Maualuga practicing this.... http://tinyurl.com/dksxpy";;;;"1673632128";https://twitter.com/partingscott/status/1673632128
;2009-05-01 16:52;0;0;"Coming up on News 5 at 6:20p Check out the 'look' Rey Maualuga is bringing to the Bengals. This guy will be an instant sensation here.";;;;"1673279303";https://twitter.com/kenbroo/status/1673279303
;2009-05-01 15:38;0;0;"Rey Maualuga ready to show scouts what they missed: By Gary Klein An All-American middle linebacker from USC was.. http://tinyurl.com/cadmlp";;;;"1672662276";https://twitter.com/rowatch/status/1672662276
;2009-05-01 15:20;0;0;"http://bit.ly/Zrto7 Rey Maualuga ready to show scouts what they missed: By Gary Klein An All-.. http://bit.ly/bps3s";;;;"1672514174";https://twitter.com/RickEriksen9/status/1672514174
;2009-05-01 14:53;0;0;"Rey Rey Maualuga in the Locker Room Video - http://tinyurl.com/dcbp9y";;;;"1672277168";https://twitter.com/cinbengals/status/1672277168
;2009-05-01 14:49;0;0;"Los Angeles Times >> Rey Maualuga ready to show scouts what they missed http://tinyurl.com/dlxsx9";;;;"1672244191";https://twitter.com/uscbuzztap/status/1672244191
;2009-05-01 14:42;0;0;"Rey Maualuga ready to show scouts what they missed - Los Angeles Times http://bit.ly/97VLx";;;;"1672184326";https://twitter.com/seahawknews/status/1672184326
;2009-05-01 14:35;0;0;"great read on # Bengals rookie LB Rey Maualuga. http://news.cincinnati.com/article/20090501/COL03/305010068/1062/SPT # nfl";;;# #;"1672125928";https://twitter.com/RyanCost1/status/1672125928
;2009-05-01 14:28;0;0;"Rey Maualuga ready to show scouts what they missed: An All-American middle linebacker from USC was chosen in the.. http://tinyurl.com/dehgwb";;;;"1672059369";https://twitter.com/mg_sports/status/1672059369
;2009-05-01 14:27;0;0;"Want to know what what makes Bengals rookie linebacker Rey Maualuga tick, and hit, like he does? Doc captures it. http://bit.ly/Lug7b";;;;"1672053897";https://twitter.com/ENQSports/status/1672053897
;2009-05-01 13:47;0;0;"Rey Maualuga ready to show scouts what they missed http://ff.im/-2vps4";;;;"1671715670";https://twitter.com/wopularall/status/1671715670
;2009-05-01 13:42;0;0;"#Rey Maualuga ready to show scouts what they missed - Los Angeles Times: Bleacher ReportRey Maualuga ready to .. http://tinyurl.com/c6llnk";;;#Rey;"1671673999";https://twitter.com/MSPLinks/status/1671673999
;2009-05-01 13:19;0;0;"Rey Maualuga ready to show scouts what they missed: The 38th overall draft picks wants to 'let everyone know I s.. http://tr.im/ke9L";;;;"1671479778";https://twitter.com/latimessports/status/1671479778
;2009-05-01 12:00;0;0;"Minicamps underway - From Bengals.com - Rey Maualuga spent time at outside LB during the first day of Bengals minicamps # NFL # FOOTBALL";;;# #;"1670781449";https://twitter.com/Andrew_Garda/status/1670781449
;2009-05-01 09:40;0;0;"I get more excited each day when I read about OT Andre Smith and LB Rey Maualuga. I think the Bengals got something with these two guys.";;;;"1669548736";https://twitter.com/drew_daniels/status/1669548736
;2009-04-30 17:45;0;0;"Why did USC LB Rey Maualuga slip out of the first round? We examine that in tomorrow's LA Times.";;;;"1663673476";https://twitter.com/LATimesfarmer/status/1663673476
