Name,Date,Category,Crime Category,Description,Outcome
Kenny Britt,2012-07-20,DUI,DUI,Charged with drunken driving after trying to pass through security gate at Fort Campbell Army post in Kentucky.,"Found not guilty of DUI, guilty of refusing Breathalyzer test."
Kenny Britt,2011-06-29,Outstanding warrant,License / Traffic,Turned himself in on two outstanding warrants that say he provided inaccurate information on driver's license applications.,Resolution undetermined.
Kenny Britt,2011-06-08,Drugs,Drugs,Accused of resisting arrest in New Jersey after police suspected him of trying to hide a marijuana cigar.,Resolution undetermined.
Kenny Britt,2011-04-12,Obstruction,Resisting,"Accused of eluding police with car chase in his hometown of Bayonne, N.J., speeding and obstruction.","Pleaded guilty to careless driving, $478 fine."
Kenny Britt,2011-02-09,Theft,Theft / Burglary,Accused of theft by deception after allegedly not paying two bail bonds companies in New Jersey on behalf of his friend.,Resolution undetermined.
Kenny Britt,2010-08-04,License,License / Traffic,"Pulled over in Nashville for windows in Camaro tinted too dark, then cited for misdemeanor driving without a valid license.",Resolution undetermined.
Kenny Britt,2010-01-15,License,License / Traffic,"Pulled over in Glen Ridge., N.J., and had three outstanding traffic warrants.","Paid $865, released."
Aldon Smith,2015-08-06,DUI,DUI,"Accused of hitting a parked vehicle with his vehicle, being under the influence of alcohol and vandalism in Santa Clara, Calif.",Resolution undetermined. Released by team the next day.
Aldon Smith,2014-04-13,Disorderly conduct,Disorderly conduct,Accused of making a false bomb threat at Los Angeles airport after being selected for secondary screening.,Dropped by prosecutors.
Aldon Smith,2013-10-09,Gun,Gun,"Case stems from house party in June 2012, in which Smith was stabbed. Three felony counts of illegal possession of an assault weapon.","Pleaded no contest, three years of probation, 235 hours of community service for this and DUI case."
Aldon Smith,2013-09-20,"DUI, drugs",DUI,"Accused of drunk driving and marijuana possession after crashing his pickup truck in San Jose, Calif.","Pleaded no contest, three years of probation, 235 hours of community service for this and other guns case."
Aldon Smith,2012-01-27,DUI,DUI,Accused of drunken driving in Miami Beach.,Diversion program. Charge reduced to reckless driving.
Fred Davis,2014-02-20,DUI,DUI,"Accused of drunk driving in Tysons Corner, Va., after passerby called police to report a man apparently asleep in his Rolls-Royce.",Charge dropped.
Fred Davis,2010-08-07,Reckless driving,License / Traffic,"Cited with reckless driving, driving 20 mph over the speed limit.","Pleaded guilty to reduced charge of speeding, $75 fine."
Fred Davis,2010-05-07,License,License / Traffic,"Charged with driving with a suspended license, falsely identifying himself to police in Loudon County (Va.).","Pleaded guilty, 30-day suspended sentence, fined $2,500"
Fred Davis,2010-04-07,License,License / Traffic,"Pulled over for speeding, found to be driving under a suspended/revoked license.","Pleaded guilty, 10-day suspended sentence, $2,500 fine, driver's license suspended 90 days."
