Name,Arrest Count,Position,City,Team Name
Kenny Britt,7,WR,Nashville,Titans
Aldon Smith,5,LB,San Francisco,49ers
Fred Davis,4,TE,Washington DC,Redskins
Leroy Hill,4,LB,Seattle,Seahawks
Adam Jones,4,CB,Cincinnati,Bengals
Johnny Jolly,3,DE,Green Bay,Packers
Albert Haynesworth,3,DT,Washington DC,Redskins
Ray McDonald,3,DE,San Francisco,49ers
John Gill,2,DT,Indianapolis,Colts
Willie Andrews,2,CB,Boston,Patriots
Jason Peters,2,OT,Philadelphia,Eagles
Matt Prater,2,K,Denver,Broncos
Andrew Jackson,2,LB,Indianapolis,Colts
Eric Wright,2,CB,Tampa Bay,Buccaneers
Dante Fowler,2,DE,Jacksonville,Jaguars
Reuben Foster,2,LB,San Francisco,49ers
Rolando McClain,2,LB,Oakland,Raiders
Jerome Simpson,2,WR,Minneapolis,Vikings
Rey Maualuga,2,LB,Cincinnati,Bengals
Matt Jones,2,WR,Jacksonville,Jaguars
William Moore,2,S,Atlanta,Falcons
Aqib Talib,2,CB,Tampa Bay,Buccaneers
Nick Fairley,2,DT,Detroit,Lions
Brandon Walker,2,OG,Houston,Texans
Gerald Sensabaugh,2,S,Jacksonville,Jaguars
Raheem Brock,2,DE,Seattle,Seahawks
Josh Brown,2,K,New York,NY Giants
Marcell Dareus,2,DT,Buffalo,Buffalo Bills
Trevone Boykin,2,QB,Seattle,Seahawks
Aaron Berry,2,CB,Detroit,Lions
Chris Cook,2,CB,Minneapolis,Vikings
Von Miller,2,LB,Denver,Broncos
Cedric Benson,2,RB,Cincinnati,Bengals
Marshawn Lynch,2,RB,Buffalo,Buffalo Bills
Letroy Guion,2,DT,Green Bay,Packers
Brandon Underwood,2,CB,Green Bay,Packers
Mikel Leshoure,2,RB,Detroit,Lions
Jeff Reed,2,K,Pittsburgh,Steelers
Cedric Benson,2,RB,Chicago,Bears
Tre Mason,2,RB,Los Angeles,Rams
Dwayne Jarrett,2,WR,Charlotte,Panthers
Cody Grimm,2,S,Tampa Bay,Buccaneers
Larry Johnson,2,RB,Kansas City,Chiefs
Justin Blackmon,2,WR,Jacksonville,Jaguars
Erin Henderson,2,LB,Minneapolis,Vikings
Joseph Randle,2,RB,Dallas,Cowboys
Brandon Marshall,2,WR,Denver,Broncos
Evan Rodriguez,2,FB,Chicago,Bears
Adrian Peterson,2,RB,Minneapolis,Vikings
Everson Griffen,2,DE,Minneapolis,Vikings
Vincent Jackson,2,WR,Los Angeles,Chargers
Nigel Bradham,2,LB,Philadelphia,Eagles
Kenny Wright,2,CB,Cleveland,Browns
